nct_id,official_title,brief_title,organization,conditions,interventions,intervention_types,lead_sponsor,study_type,phase,allocation,masking,primary_purpose,start_date,completion_date,primary_completion_date,overall_status,enrollment,enrollment_type,sex,minimum_age,maximum_age,healthy_volunteers,eligibility_criteria,primary_outcomes,secondary_outcomes
NCT02858245,A Feasibility Registry on Use of Actigraphy Monitoring in Degenerative Mitral Regurgitation (DMR) Subjects Receiving the MitraClip® Device,A Feasibility Registry of Actigraphy Monitoring in Degenerative Mitral Regurgitation Subjects Receiving the MitraClip® Device,Abbott Medical Devices,Mitral Regurgitation,No intervention - registry,OTHER,Abbott Medical Devices,OBSERVATIONAL,,,,,2016-11,2017-12,2017-12,TERMINATED,30.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Subject must consent to receiving the MitraClip device
* Subject must consent, be able, and commit to wearing the Actiwatch continuously for approximately 7 months
* Subject must consent to use of their data from this registry for purposes of exploratory research and publication and presentation

Exclusion Criteria:

* Subject is not a member of vulnerable population
* Subject must not have any disabilities that preclude reliable data collection from the Actiwatch, e.g., epilepsy with uncontrolled recurring episodes, serious stage degenerative/disabling disease (e.g. Parkinson's disease), inability to walk or will require walking aids, etc.","Observational change in daily reported activity levels (counts/min) as assessed by actigraphy, from baseline to 30 days post MitraClip implantation",Levels of daily and weekly activity as assessed by actigraphy; Levels of daily and weekly activity as assessed by actigraphy; Levels of daily and weekly activity as assessed by actigraphy; Levels of daily and weekly activity as assessed by actigraphy; Levels of daily and weekly activity as assessed by actigraphy; Levels of daily and weekly activity as assessed by actigraphy; Levels of daily and weekly activity as assessed by actigraphy; Patterns of daily Sleep/Wake by actigraphy; NYHA Functional Class; NYHA Functional Class; Mitral Regurgitation severity; Mitral Regurgitation severity; Mitral Regurgitation severity; Echocardiographic assessment; Echocardiographic assessment; Echocardiographic assessment; Distance walked 6 minute walk test (6MWT); Distance walked 6 minute walk test (6MWT); Health-related quality of life (QoL); Health-related quality of life (QoL)
NCT04682483,Cardiogenic Shock Working Group Registry,Cardiogenic Shock Working Group Registry,Tufts Medical Center,Cardiogenic Shock,Vasopressor; Inotrope; Acute Mechanical Circulatory Support Devices,DEVICE; DRUG,Tufts Medical Center,OBSERVATIONAL,,,,,2017-12-04,2026-06-01,2026-01-01,RECRUITING,5000.0,ESTIMATED,ALL,18 Years,,False,"Inclusion Criteria:

* Patients must have cardiogenic shock.

Cardiogenic shock is defined by at least one of the two categories below:

1. At least 2 of the following concurrently at any point during the index hospitalization:

   * Cardiac Index \< 2.2
   * PAPI \< 1.0
   * Cardiac Power Output ≤ 0.6
   * MAP \< 60mmHg or a \>30mmHg drop in MAP from baseline
   * SBP \< 90mmHg or a \>30mmHg drop in SBP from baseline
   * Pulse \> 100
2. Require at least one acute mechanical circulatory support device, vasopressor or inotrope to maintain values above the above target.

Post-cardiotomy patients must meet the inclusion criteria 72 hours after their surgery to be included in this registry.",Rate of Mortality; Rate of Mortality,Rate of Re-hospitalization; Rate of Re-hospitalization; New York Heart Association (NYHA) Class; New York Heart Association (NYHA) Class
NCT02768402,Percutaneous Mitral Valve Replacement EvaLuation Utilizing IDE Early Feasibility Study (PRELUDE),Caisson Transcatheter Mitral Valve Replacement (TMVR) System Early Feasibility Study,Caisson Interventional LLC,Mitral Valve Regurgitation,Caisson TMVR System,DEVICE,Caisson Interventional LLC,INTERVENTIONAL,NA,NA,NONE,TREATMENT,2016-06,2023-12,2023-09,UNKNOWN,20.0,ESTIMATED,ALL,18 Years,,False,"Inclusion Criteria:

* Has severe mitral regurgitation
* New York Heart Association (NYHA) Class II, III, IVa or heart failure
* High risk for cardiovascular surgery

Exclusion Criteria:

* Excessive calcification or thickening of mitral valve annulus, severe mitral stenosis, fused commissures, valvular vegetation or mass
* Left ventricular end diastolic dimension \> 7cm
* Left ventricular outflow tract obstruction
* Severe right ventricular dysfunction
* Stroke within 90 days; transischemic attack or myocardial infarction within 30 days of the index procedure",Number of patients without Major Adverse Events (MAEs),"Number of patients with successful delivery and implantation of the prosthetic valve (technical success); Number of living, stroke-free patients with prosthetic valve in place (device success)"
NCT02279888,CardioMEMS HF System Post Approval Study,CardioMEMS HF System Post Approval Study,Abbott Medical Devices,Heart Failure; Left-Sided Heart Failure; Congestive Heart Failure,CardioMEMS HF System,DEVICE,Abbott Medical Devices,OBSERVATIONAL,,,,,2015-01,2019-10-11,2019-10-11,COMPLETED,1214.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Diagnosis of NYHA class III heart failure
* At least 1 heart failure hospitalization within previous 12 months
* Patients with reduced LVEF heart failure should be receiving a beta blocker for 3 months and an ACE-I or ARB for one month unless in the investigator's opinion, the patient is intolerant to beta blockers, ACE-I or ARB
* BMI ≤ 35. Patients with BMI \>35 will require their chest circumference to be measured at the axillary level. If \> 65 inches the patient will not be eligible for the study.
* Pulmonary artery branch diameter ≥ 7mm - (implant target artery - assessed during the right heart catheterization)

Exclusion Criteria:

* Active infection
* History of recurrent (\> 1) pulmonary embolism or deep vein thrombosis
* Inability to tolerate a right heart catheterization
* A major cardiovascular event (e.g., myocardial infarction, open heart surgery, stroke, etc.) within previous 2 months
* Cardiac resynchronization device (CRT) implanted within previous 3 months
* Glomerular Filtration Rate (GFR) \< 25 ml/min (obtained within 2 weeks of implant) who are non-responsive to diuretic therapy or who are on chronic renal dialysis
* Congenital heart disease or mechanical right heart valve
* Likely to undergo heart transplantation or VAD within the next 6 months
* Known coagulation disorders
* Hypersensitivity or allergy to aspirin, and/or clopidogrel",Freedom From Device and/or System Related Complication (DSRC); Freedom From Pressure Sensor Failure; Heart Failure Hospitalization (HFH) Rate,
NCT02836652,Prevention of Non-Surgical Bleeding by Management of HeartMate II Patients Without Antiplatelet Therapy,Prevention of Non-Surgical Bleeding by Management of HeartMate II Patients Without Antiplatelet Therapy,Abbott Medical Devices,Heart Failure,HeartMate II (HMII); Warfarin; acetylsalicylic acid (ASA) therapy,DEVICE; DRUG,Abbott Medical Devices,INTERVENTIONAL,PHASE4,RANDOMIZED,TRIPLE,TREATMENT,2016-11,2019-07-18,2019-02-21,COMPLETED,72.0,ACTUAL,ALL,50 Years,,False,"Inclusion Criteria

* Subject is receiving the HM II per standard of care (SOC) in accordance with the FDA approved indications for use
* Subject is ≥ 50 years of age
* Subject is receiving the HM II as their first LVAD
* Subject or legally authorized representative (LAR) has signed an informed consent form (ICF).

Exclusion Criteria

* Existence of ongoing mechanical circulatory support (MCS) other than intra-aortic balloon pump or Impella® devices
* Participation in any other clinical investigation(s) involving an MCS device, or an investigation(s) that is likely to confound study results or affect study outcome
* Antiplatelet therapy is mandated for other conditions, in particular: a) recent coronary artery stenting (≤ 6 months), b) carotid artery disease, and c) other conditions where the investigator is not comfortable leaving subjects off-ASA or starting ASA post LVAD implantation. In situations where the investigator is uncertain, the Steering Committee can provide recommendation to the investigator as needed.
* Subjects in whom heart transplantation is expected in ≤ 6 months
* Subjects with a known ASA allergy",Safety Endpoint: % of Patients With Non-surgical Bleeding at 6 Months Post HeartMate II Implant; Efficacy Endpoint: % of Patients With Thromboembolic Events at 6 Months Post HeartMate II Implant,
NCT01871090,Remote Device Interrogation In The Emergency Department,Remote Device Interrogation In The Emergency Department,Abbott Medical Devices,"Heart Disease; Cardiovascular Disease; Heart Failure; Arrhythmias, Cardiac",Unpaired remote monitoring transmitter,DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,NON_RANDOMIZED,NONE,DIAGNOSTIC,2013-09,2015-07,2015-04,COMPLETED,99.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

1. Present to Emergency Department with an implanted pacemaker or defibrillator.
2. Are 18 years of age or older, or of legal age to give informed consent specific to state law.
3. Are willing and able to provide informed consent for study participation.

Exclusion Criteria:

* None",Time to Interrogation,Time to Clinical/Treatment Decision
NCT02195843,Quadripolar Leads for the Management of Heart Failure Patients in the Middle East,Quadripolar Leads for the Management of Heart Failure Patients in the Middle East,King Abdullah International Medical Research Center,Heart Failure,Electrical optimization by RVLV Conduction Time with VectSelect; Anatomical optimization of device and leads; Implanted device and lead (Cardiac Resynchronization Therapy Defibrillator (CRT-D) device and SJM Quadripolar lead system),DEVICE; OTHER,King Abdullah International Medical Research Center,INTERVENTIONAL,PHASE4,RANDOMIZED,NONE,,2014-08,2016-08,2016-08,UNKNOWN,389.0,ESTIMATED,ALL,18 Years,,False,"Inclusion Criteria:

* Male or female patients ≥ 18 years of age
* Patient met standard CRT-D device indications (Left Ventricular Ejection Fraction (LVEF) ≤ 35%, QRS ≥ 120 ms, New York Heart Association (NYHA) Class II, III or ambulatory Class IV Heart Failure (HF) symptoms with optimal recommended medical therapy) and will be implanted with an St Jude Medical CRT-D
* Patient is willing to provide written informed consent.

Exclusion Criteria:

* Patient with non left bundle branch block (RBBB, intraventricular delay (IVCD) Block)
* Patient has an epicardial ventricular lead system.
* Patient has limited intrinsic atrial activity (≤ 40 bpm).
* Patient has persistent or permanent Atrial Fibrillation.
* Patient's life expectancy is less than 1 year
* Patient is pregnant.
* Patient is dependent on IV inotropic agents.",Left Ventricular End Systolic Volume (LVESV),
NCT02903940,The Application of Negative Atrioventricular Hysteresis in Cardiac Resynchronization Therapy,The Application of Negative Atrioventricular Hysteresis in Cardiac Resynchronization Therapy,Abbott Medical Devices,Heart Failure,CRT+NAVH,DEVICE,Abbott Medical Devices,OBSERVATIONAL,,,,,2016-12,2022-12,2022-10,COMPLETED,30.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Implanted with a functioning SJM Quadripolar CRT Pacing System
* QRS duration \> 140 ms
* Left bundle branch block documented
* Ability to provide informed consent for study participation
* Willing to comply with the study evaluation requirements
* At least 18 years of age

Exclusion Criteria:

* CRT Pacing System implanted less than 1 week at time of enrollment
* CRT Pacing System implanted more than 24 months at time of enrollment
* CRT Pacing System implanted more than 90 days at time of enrollment AND intrinsic QRS duration is shorter than pre-implant intrinsic QRS duration by more than 10 ms
* Resting ventricular rate \>100 bpm
* Intrinsic PR interval \> 300 ms
* Paroxysmal or persistent atrial tachycardia or atrial fibrillation documented
* A recent myocardial infarction, ablation, drug intoxication, electrolyte imbalance, or any condition within the last 90 days that would be contraindicated for CRT programming changes in the opinion of the investigator
* Women who are pregnant or who plan to become pregnant during the study",Acute changes in surface ECG QRS duration resulting from Cardiac Resynchronization Therapy with Negative Atrioventricular Hysteresis over a range of programmable values,Ambulatory changes in surface ECG QRS duration resulting from Cardiac Resynchronization Therapy with Negative Atrioventricular Hysteresis
NCT02497950,Evaluating the HeartMate 3™ in a Post-Market Approval Setting: The HeartMate 3 Registry (ELEVATE™),HeartMate 3 ELEVATE™ Registry,Abbott Medical Devices,Heart Failure; Cardiovascular Disease; Ventricular Dysfunction,HeartMate 3,DEVICE,Abbott Medical Devices,OBSERVATIONAL,,,,,2015-10-13,2022-02-28,2019-02,COMPLETED,540.0,ACTUAL,ALL,,,False,"Inclusion:

1. Patient consented to registry data collection
2. Patient has met the HeartMate 3 commercially approved labeling indication and is implanted with the HM3.",Survival,EuroQoL-5D-5L (EQ-5D-5L) VAS; Six Minute Walk Test (6MWT); New York Heart Association (NYHA) Classification; Adverse Events; Device Malfunctions; Reoperations; Rehospitalizations
NCT07217392,Left Bundle Branch Area Pacing (LBBAP) PMCF Study,Left Bundle Branch Area Pacing (LBBAP) PMCF Study,Abbott Medical Devices,Bradycardia; Right Ventricular Pacing; Heart Failure; Atrial Fibrillation (AF); Cardiac Disease; Left Bundle Branch Area Pacing; Conduction System Pacing,LBBAP lead,DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,NA,NONE,TREATMENT,2025-07-24,2027-04-30,2027-04-30,RECRUITING,200.0,ESTIMATED,ALL,18 Years,,False,"Inclusion Criteria:

1. Meets current clinical practice guidelines for implantation of Tendril STS 2088TC or UltiPace LPA1231 lead in the Left Bundle Branch Area
2. Are ≥ 18 years of age or age of legal consent, whichever age is greater.
3. Subject is willing to comply with clinical investigation procedures and agrees to return to clinic for all required follow-up visits, tests, and exams.
4. Subject has been informed of the nature of the clinical investigation, agrees to its provisions and has provided a signed written informed consent, approved by the IRB/EC.

Exclusion Criteria:

1. Patient meets a standard contraindication for lead implant including:

   1. the presence of tricuspid atresia
   2. patients with mechanical tricuspid valves
   3. patients who are expected to be hypersensitive to a single dose of one milligram of dexamethasone sodium phosphate
2. Patient is currently implanted with a pacemaker, ICD, or CRT-D/P device
3. Patient has had a previous unsuccessful attempt to place a lead in the LBB area
4. Patient has planned cardiac surgical procedures or interventional measures within 3 months after implant
5. Patient is expected to receive a heart transplant within 6 months
6. Patient life expectancy less than 6 months
7. Patient has the presence of another life-threatening, underlying illness separate from their cardiac disorder
8. Patient is enrolled or planning to enroll in another clinical trial that might confound the results of the present study
9. Pregnant or nursing subjects and those who plan pregnancy during the clinical investigation follow-up period.
10. Presence of other anatomic or comorbid conditions, or other medical, social, or psychological conditions that, in the investigator's opinion, could limit the subject's ability to participate in the clinical investigation or to comply with follow-up requirements of the clinical investigation.",Infection Rate; Perforation Rate; Malfunction Rate; Cardiovascular Injury Rate; Implant success rate; Lead dislodgement rate; Pacing threshold; Impedence; Sensing Amplitude,
NCT02235545,Optisure Lead Post Approval Study,Optisure Lead Post Approval Study,Abbott Medical Devices,"Heart Failure; Tachycardia, Ventricular",St. Jude Medical Optisure Lead,DEVICE,Abbott Medical Devices,OBSERVATIONAL,,,,,2014-08,2020-06-30,2019-12-16,TERMINATED,1735.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

Eligible patients will meet all of the following:

1. Have an approved indication, as per ACC/AHA/HRS/ESC guidelines, for implantation of an ICD or CRT-D system for treatment of heart failure or life-threatening ventricular tachyarrhythmia(s).
2. Have been implanted with a St. Jude Medical Optisure lead in the last 30 days or are scheduled for an Optisure lead implant.
3. Have the ability to provide informed consent for study participation and be willing and able to comply with the prescribed follow-up tests and schedule of evaluations.
4. Are 18 years or above, or of legal age to give informed consent specific to state and national law.

Exclusion Criteria:

Patients will be excluded if they meet any of the following:

1. Enrolled or intend to participate in a clinical drug and/or device study, which could confound the results of this trial as determined by SJM, during the course of this clinical study.
2. Have a life expectancy of less than 5 years due to any condition.",Complication Free Survival Rate at 5 Years for Complications Related to the Optisure RV Leads.,
NCT02170363,HeartMate 3™ CE Mark Clinical Investigation Plan,HeartMate 3™ CE Mark Clinical Investigation Plan,Abbott Medical Devices,Advanced Refractory Left Ventricular Heart Failure,Left Ventricular Assist System (LVAS),DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,NA,NONE,TREATMENT,2014-06,2020-03-09,2015-05,COMPLETED,50.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

1. Patient or legal representative has signed Informed Consent Form (ICF)
2. Age ≥ 18 years
3. BSA ≥ 1.2 m2
4. NYHA IIIB or IV OR ACC/AHA Stage D
5. LVEF ≤ 25%
6. CI ≤ 2.2 L/min/m2, while not on inotropes
7. Patients must also meet one of the following:

   \- On Optimal Medical Management (OMM), based on current heart failure practice guidelines for at least 45 out of the last 60 days and are failing to respond,

   OR

   \- In NYHA class IIIB or IV heart failure for at least 14 days AND dependent on intraaortic balloon pump (IABP) for at least 7 days,

   OR

   \- Inotrope dependent/unable to wean from inotropes

   OR

   \- Listed for Transplant
8. Females of child bearing age must agree to use adequate contraception

Exclusion Criteria:

1. Etiology of HF due to or associated with uncorrected thyroid disease, obstructive cardiomyopathy, pericardial disease, amyloidosis or restrictive cardiomyopathy
2. Technical obstacles which pose an inordinately high surgical risk, in the judgment of the investigator
3. Existence of ongoing mechanical circulatory support (MCS) other than IABP
4. Positive pregnancy test if of childbearing potential
5. Lactating mothers
6. Presence of mechanical aortic cardiac valve that will not be converted to a bioprosthesis at the time of LVAD implant
7. History of any organ transplant
8. Platelet count \< 100,000 x 103/L (\< 100,000/ml)
9. Psychiatric disease/disorder, irreversible cognitive dysfunction or psychosocial issues that are likely to impair compliance with the study protocol and LVAS management
10. History of confirmed, untreated AAA \> 5 cm in diameter
11. Presence of an active, uncontrolled infection
12. Intolerance to anticoagulant or antiplatelet therapies or any other peri/post-operative therapy the investigator will require based upon the patients' health status
13. Presence of any one of the following risk factors for indications of severe end organ dysfunction or failure:

    1. An INR ≥ 2.5 not due to anticoagulation therapy
    2. Total bilirubin \> 43 umol/L (2.5 mg/dl), shock liver, or biopsy proven liver cirrhosis
    3. History of severe chronic obstructive pulmonary disease (COPD) defined by FEV1/FVC \< 0.7, or FEV1 \<50% predicted
    4. Fixed pulmonary hypertension with a most recent PVR ≥ 8 Wood units that is unresponsive to pharmacologic intervention
    5. History of stroke within 90 days prior to enrollment, or a history of cerebrovascular disease with significant (\> 80%) carotid artery stenosis
    6. Serum creatinine ≥221umol/L (2.5 mg/dl) or the need for chronic renal replacement therapy
    7. Significant peripheral vascular disease (PVD) accompanied by rest pain or extremity ulceration
14. Patient has moderate to severe aortic insufficiency without plans for correction during pump implant
15. Pre albumin \< 150 mg/L, or Albumin \< 30g/L (3 g/dL)
16. Planned Bi-VAD support prior to enrollment
17. Patient has known hypo or hyper coagulable states such as disseminated intravascular coagulation and heparin induced thrombocytopenia
18. Participation in any other clinical investigation that is likely to confound study results or affect the study
19. Any condition other than HF that could limit survival to less than 24 months",Survival,Quality of Life (EQ-5D-5L); Functional Status - Six Minute Walk Test (6MWT); Functional Status - New York Heart Association (NYHA) Classification; All Adverse Events; Device Malfunctions; Reoperations; Rehospitalizations; Stroke Free Survival
NCT01452802,Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management in Ambulatory Heart Failure Patients,Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device (LVAD) and Medical Management,Abbott Medical Devices,Heart Failure,HM II (HeartMate II LVAD); OMM (Optimal Medical Management),DEVICE; DRUG,Abbott Medical Devices,OBSERVATIONAL,,,,,2011-10,2016-06,2016-03,COMPLETED,200.0,ACTUAL,ALL,18 Years,85 Years,False,"The following are general criteria; more specific criteria are included in the study protocol:

Inclusion Criteria:

* NYHA Class IIIB/IV (refer to Appendix IV for definitions)
* Left ventricular ejection fraction (LVEF) ≤ 25%
* Not currently listed for heart transplantation, and not planned in next 12 months
* On optimal medical management
* Limited functional status as demonstrated by 6MWT \<300 meters
* At least:

  * One hospitalization for HF in last 12 months or
  * At least 2 unscheduled emergency room or infusion clinic visits (may include intravenous diuretic therapy, etc.) for HF in last 12 months

Exclusion Criteria:

* Presence of mechanical aortic or mitral valve, including planned conversion to bioprosthesis
* Platelet count \< 100,000/mi within 48 prior to enrollment
* Any inotrope use within 30 days prior to enrollment
* Inability to perform 6MWT for any reason
* Any condition, other than heart failure, that could limit survival to less than 2 years
* History of cardiac or other organ transplant
* Existence of any ongoing mechanical circulatory support (including intraaortic balloon pump, temporary circulatory support devices, etc.) at the time of enrollment
* Presence of active, uncontrolled, systemic infection
* History of an unresolved stroke within 90 days prior to enrollment, or a history of cerebral vascular disease with significant (\> 80%)extracranial stenosis
* Contraindication to anticoagulation/antiplatelet therapy
* CRT or CRT-D within 3 months prior to enrollment
* Coronary revascularization (e.g. CABG, PCI) within 3 months prior to enrollment",Composite of survival with improvement in Six Minute Hallway Walk Test distance from baseline of ≥ 75m.,"Risk stratified subgroup analysis of the primary endpoint and temporal analysis of primary endpoint.; Accuracy of prognostic survival risk models including Seattle Heart Failure Model (SHFM) and HeartMate II Risk Score (HMRS); Actuarial survival and survival free of stroke: a) intent-to-treat; and b) as treated.; Survival in LVAD group free of pump replacement.; Quality of Life using the EQ-5D-5L Health Utility Index.; Depression using Patient Health Questionnaire-9 (PHQ-9).; Questionnaire on patient decisions related to LVAD therapy versus optimal medical management.; Functional status using 6MWT distance and NYHA Classification; Incidence of adverse events, rehospitalizations, days alive and not hospitalized."
NCT06965504,Initiation and Titration of Guideline Directed Medical Therapy in Heart Failure Cardiogenic Shock With Impella 5.5 for Cardiac Recovery: INTeGRATE,INitiation and Titration of Guideline Directed Medical TheRApy in HearT Failure Cardiogenic Shock With ImpElla 5.5 for Cardiac Recovery,Abiomed Inc.,Heart Failure; Cardiogenic Shock; Reduced Ejection Fraction Heart Failure,Impella 5.5 SmartAssist,DEVICE,Abiomed Inc.,INTERVENTIONAL,NA,NA,NONE,TREATMENT,2026-04-01,2029-06-01,2028-12-01,NOT_YET_RECRUITING,60.0,ESTIMATED,ALL,18 Years,75 Years,False,"Inclusion Criteria:

1. Age ≥18 and \< 75 years
2. Subject has signed the Informed Consent
3. LVEF ≤ 40%
4. History of HF \<5 years
5. Subject is presenting with decompensated heart failure and meets one of the following cardiogenic shock criteria:

   1. Sustained episode of systolic blood pressure ≤ 90 mmHg for at least 30 minutes or need for vasoactive agents to maintain such blood pressure.
   2. Or serum lactate \> 2 mmol/L
   3. Or a cardiac index (CI) \< 2.2 L/min/m2 determined to be secondary to cardiac dysfunction, in the absence of hypovolemia
   4. Or required support with an intra-aortic balloon pump (IABP)
6. Subject has inadequate heart failure GDMT based on the most recent outpatient prescription prior to index admission as determined by the treating cardiologist and the Eligibility Committee, defined as:

   1. On 2 or less of the evidence-based GDMT (BB, MRA, SGLT2i, and RASi)
   2. If on β-blocker and RASi, at least one of the two medications is \<50% of maximal dose.

Exclusion Criteria:

1. Underlying unmodifiable conditions that limit initiation of GDMT prior to enrollment, including but not limited to:

   1. Drug allergies or hypersensitivities to HF GDMT medications, unless alternative can be identified.

      Drug allergy/hypersensitivity is an immune-mediated reaction to a medication. Adverse reactions must be a result of immune or inflammatory cell stimulations by the mеԁiсаtion:
   2. Known bilateral renal artery stenosis
   3. Type 1 diabetes
   4. 2nd or 3rd degree AV block, unless pacemaker is in place
   5. Angioedema, hereditary or idiopathic
   6. Pregnancy, known or confirmed by a pregnancy test if of child bearing potential.
2. Cardiogenic shock due to myocardial infarction prior to enrollment
3. Mixed shock, septic shock, or shock from non-cardiac origins
4. Severe Cardiogenic Shock, defined as meeting one or more of the below prior to enrollment:

   1. SCAI stage E per Study Definition (Appendix C)
   2. Serum lactate \> 8mmol/L
   3. On mechanical circulatory support (not including IABP) or on mechanical ventilation for non-procedural reasons.
   4. Experiencing pulseless electrical activity (PEA) or refractory ventricular tachycardia (VT)/ventricular fibrillation (VF)
   5. Severe acidosis (pH \< 7.2 or bicarbonate \< 10mEq/L)
5. In cardiac arrest prior to enrollment
6. Revascularization or cardiac surgery within 90-days of the index hospitalization date or decision to undergo revascularization or cardiac surgery made prior to enrollment.
7. Inflammatory and infiltrative cardiomyopathy (CM) including myocarditis, restrictive CM, constrictive pericarditis, or hypertrophic CM including sarcoidosis and amyloidosis.
8. Adult congenital heart disease without appropriate surgical correction
9. Structural or anatomical abnormalities that cannot be modified as determined by the treating cardiologist, including severe primary mitral regurgitation (MR) .
10. Severe RV dysfunction, per Study Definition (Appendix C), requiring mechanical or inotropic support prior to enrollment.
11. Severe dilatation of the LV with LVEDD greater than 8.0cm
12. History of heart transplant or listed for heart transplant prior to enrollment.
13. Planned to be implanted with a permanent VAD within 90-days of the index hospitalization date.
14. Continuous outpatient inotropic support prior to the index hospitalization date.
15. Planned to pursue palliative care or hospice, or life expectancy of less than 2 years due to non-cardiac illness at the time of index hospitalization date.
16. ICD upgrade to BiV, or implantation of CRT within 30-days of the index hospitalization date.
17. Currently on dialysis, or has pre-existing end-stage chronic kidney disease (stage 4 or above), or has hereditary, infectious, or autoimmune nephropathy.
18. Pre-existing liver dysfunction defined as: presence of liver cirrhosis or alcoholic hepatitis, or presence of acute liver failure or acute hepatitis not due to cardiogenic shock.
19. Pre-existing pulmonary disease requiring home oxygen
20. History of stroke or intracranial hemorrhage ≤ 90 days of the index hospitalization date, or a history of cerebrovascular disease with significant (\> 80%) uncorrected carotid stenosis, or any permanent neurological deficit with mRS score \>2.
21. Any contraindication that precludes placing an Impella 5.5®, including but not limited to:

    1. Aortic valve stenosis/calcification with orifice area ≤0.6cm2 or aortic insufficiency of any grade greater than mild on pre-procedure echocardiography.
    2. Presence of mechanical aortic valve or heart constrictive device.
    3. Thrombus in the left atrium or ventricle.
    4. Infection of the planned procedural access site or suspected systemic active infection.
    5. Severe arterial disease precluding placement of Impella.
    6. Presence of Atrial or Ventricular Septal Defect (including post-infarct VSD)
    7. Left ventricular rupture
    8. Cardiac tamponade I. Combined cardiorespiratory failure
22. Known contraindication to heparin (i.e., heparin induced thrombocytopenia (HIT)) or intolerance to anticoagulant or antiplatelet therapies.
23. Allergies or contraindications to contrast agents unless can be adequately medicated.
24. History of bleeding diathesis or known coagulopathy, any GU or GI bleed within 90-days of the index hospitalization date or will refuse blood transfusions.
25. Subject has other medical, social or psychological problems that, in the opinion of the Investigator, compromises the subject's ability to give written informed consent and/or to comply with study procedures.
26. Participation in the active treatment or follow-up phase of another clinical study of an investigational drug or device that has not met its primary endpoint.
27. Subject belongs to a vulnerable population, such as such as prisoners, individuals with impaired decision making, or economically or educationally disadvantaged persons.

    \-",% of Subjects achieving indicated GDMT treatment,
NCT04818645,Insertable Cardiac Monitor for Primary Atrial Fibrillation Detection in High-Risk Heart Failure Patients (ASSERT-AF),Insertable Cardiac Monitor for Primary Atrial Fibrillation Detection in High-Risk Heart Failure Patients,University of Rochester,Atrial Fibrillation; Heart Failure,ASSERT Insertable Cardiac Monitor; Conventional Management and monitoring,DEVICE; OTHER,University of Rochester,INTERVENTIONAL,NA,RANDOMIZED,SINGLE,PREVENTION,2023-01-31,2028-07-01,2028-07-01,RECRUITING,477.0,ESTIMATED,ALL,18 Years,,False,"Inclusion Criteria:

* Male and female patients more than 18 years of age (no upper age limit)
* HF exacerbation requiring initiation or augmentation of decongestive therapy in a hospital setting (hospitalization or emergency department visit) during the past 24 calendar months prior to consent date OR current treatment with loop-diuretics (furosemide, bumetanide, or torsemide).
* LVEF \> 35% on a cardiac imaging study (echocardiogram, nuclear imaging, cardiac magnetic resonance imaging) performed during the past 24 calendar months prior to consent date
* One or more FDA-approved indications for an Abbott ICM (unexplained symptoms such as: dizziness, palpitations, chest pain, syncope, and shortness of breath, as well as patients who are at risk for cardiac arrhythmias).
* Willing to undergo an Abbott ICM implant and agree to remote ICM monitoring.

Exclusion Criteria:

* Existing implantable cardioverter defibrillator (ICD), biventricular ICD, implantable cardiac monitor or pacemaker.
* Known or documented history AF or atrial flutter any time in past.
* Has had a heart transplant
* Participation in other clinical trials (observational registries are allowed with approval from the Coordination Center)
* Unable or unwilling to cooperate with the protocol
* Unable or unwilling to sign the consent for participation",Median Time to first detection of AF lasting > 5 minutes,Time to initiation of guideline directed anti-arrhythmic and HF interventions; Number cardiovascular hospitalizations or death; Compare healthcare utilization using Abbott ICM vs. non-ICM monitoring.; Mean quality of life measured using the Kansas City Cardiomyopathy Questionnaire (KCCQ); Mean percentage of time spent in atrial fibrillation (AF Burden); Time to detection of composite of arrhythmic events endpoint
